
filename,"10.1021Je800900a.Isotherm31"
DOI,"10.1021/Je800900a"
articleSource,"UNKNOWN"
date,"1000-01-01"
digitizer,"UNKNOWN"
adsorbent
hashkey,"NIST-MATDB-b76bbf3e404395a8b5d1b9ec08bf2d8f"
name,"Zeolite 13X"
adsorbates
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
name,"Carbon Dioxide"
category,""
temperature,"323"
tabular_data,"0"
isotherm_type,""
adsorptionUnits,"mmol/g"
pressureUnits,"bar"
compositionType,"molefraction"
concentrationUnits,""
isotherm_data
line_id,"1"
pressure,"0.000104429"
total_adsorption,"0.070039"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.070039"
line_id,"2"
pressure,"0.000121537"
total_adsorption,"0.0764663"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.0764663"
line_id,"3"
pressure,"0.000144544"
total_adsorption,"0.0847169"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.0847169"
line_id,"4"
pressure,"0.000168221"
total_adsorption,"0.0924911"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.0924911"
line_id,"5"
pressure,"0.000200069"
total_adsorption,"0.102469"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.102469"
line_id,"6"
pressure,"0.000232841"
total_adsorption,"0.111874"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.111874"
line_id,"7"
pressure,"0.000270982"
total_adsorption,"0.123942"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.123942"
line_id,"8"
pressure,"0.000322285"
total_adsorption,"0.137313"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.137313"
line_id,"9"
pressure,"0.000375077"
total_adsorption,"0.149916"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.149916"
line_id,"10"
pressure,"0.000446077"
total_adsorption,"0.166088"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.166088"
line_id,"11"
pressure,"0.000519147"
total_adsorption,"0.181332"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.181332"
line_id,"12"
pressure,"0.000617433"
total_adsorption,"0.200894"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.200894"
line_id,"13"
pressure,"0.000734311"
total_adsorption,"0.219332"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.219332"
line_id,"14"
pressure,"0.000854594"
total_adsorption,"0.239462"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.239462"
line_id,"15"
pressure,"0.00101639"
total_adsorption,"0.261441"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.261441"
line_id,"16"
pressure,"0.0012088"
total_adsorption,"0.285435"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.285435"
line_id,"17"
pressure,"0.00143763"
total_adsorption,"0.311633"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.311633"
line_id,"18"
pressure,"0.00170978"
total_adsorption,"0.340236"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.340236"
line_id,"19"
pressure,"0.00203346"
total_adsorption,"0.399664"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.399664"
line_id,"20"
pressure,"0.00247139"
total_adsorption,"0.405556"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.405556"
line_id,"21"
pressure,"0.00293924"
total_adsorption,"0.442778"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.442778"
line_id,"22"
pressure,"0.00349566"
total_adsorption,"0.483417"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.483417"
line_id,"23"
pressure,"0.00415742"
total_adsorption,"0.527786"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.527786"
line_id,"24"
pressure,"0.00494445"
total_adsorption,"0.551474"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.551474"
line_id,"25"
pressure,"0.00563103"
total_adsorption,"0.602089"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.602089"
line_id,"26"
pressure,"0.00669703"
total_adsorption,"0.65735"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.65735"
line_id,"27"
pressure,"0.00813932"
total_adsorption,"0.707255"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.707255"
line_id,"28"
pressure,"0.00968016"
total_adsorption,"0.772168"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.772168"
line_id,"29"
pressure,"0.0115127"
total_adsorption,"0.795104"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.795104"
line_id,"30"
pressure,"0.0128302"
total_adsorption,"0.868079"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.868079"
line_id,"31"
pressure,"0.0155934"
total_adsorption,"0.933983"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.933983"
line_id,"32"
pressure,"0.0185453"
total_adsorption,"1.00489"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.00489"
line_id,"33"
pressure,"0.0225393"
total_adsorption,"1.08118"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.08118"
line_id,"34"
pressure,"0.0279936"
total_adsorption,"1.11329"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.11329"
line_id,"35"
pressure,"0.0311974"
total_adsorption,"1.21547"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.21547"
line_id,"36"
pressure,"0.0379161"
total_adsorption,"1.30775"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.30775"
line_id,"37"
pressure,"0.0450939"
total_adsorption,"1.40704"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.40704"
line_id,"38"
pressure,"0.0548055"
total_adsorption,"1.49186"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.49186"
line_id,"39"
pressure,"0.0637832"
total_adsorption,"1.60512"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.60512"
line_id,"40"
pressure,"0.0775197"
total_adsorption,"1.67717"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.67717"
line_id,"41"
pressure,"0.0942146"
total_adsorption,"1.8045"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.8045"
line_id,"42"
pressure,"0.107298"
total_adsorption,"1.97012"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.97012"
line_id,"43"
pressure,"0.127609"
total_adsorption,"1.99916"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.99916"
line_id,"44"
pressure,"0.155092"
total_adsorption,"2.08889"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.08889"
line_id,"45"
pressure,"0.192624"
total_adsorption,"2.21482"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.21482"
line_id,"46"
pressure,"0.244478"
total_adsorption,"2.34835"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.34835"
line_id,"47"
pressure,"0.297126"
total_adsorption,"2.52663"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.52663"
line_id,"48"
pressure,"0.361119"
total_adsorption,"2.67896"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.67896"
line_id,"49"
pressure,"0.438884"
total_adsorption,"2.7992"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.7992"
line_id,"50"
pressure,"0.545092"
total_adsorption,"2.96796"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.96796"
line_id,"51"
pressure,"0.662491"
total_adsorption,"3.10117"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.10117"
line_id,"52"
pressure,"0.805156"
total_adsorption,"3.28813"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.28813"

line,"pressure","composition (CURLTUGMZLYLDI-UHFFFAOYSA-N)","adsorption (CURLTUGMZLYLDI-UHFFFAOYSA-N)","total_adsorption"
1,"0.000104429","1","0.070039","0.070039"
2,"0.000121537","1","0.0764663","0.0764663"
3,"0.000144544","1","0.0847169","0.0847169"
4,"0.000168221","1","0.0924911","0.0924911"
5,"0.000200069","1","0.102469","0.102469"
6,"0.000232841","1","0.111874","0.111874"
7,"0.000270982","1","0.123942","0.123942"
8,"0.000322285","1","0.137313","0.137313"
9,"0.000375077","1","0.149916","0.149916"
10,"0.000446077","1","0.166088","0.166088"
11,"0.000519147","1","0.181332","0.181332"
12,"0.000617433","1","0.200894","0.200894"
13,"0.000734311","1","0.219332","0.219332"
14,"0.000854594","1","0.239462","0.239462"
15,"0.00101639","1","0.261441","0.261441"
16,"0.0012088","1","0.285435","0.285435"
