
filename,"10.1021Je800900a.Isotherm24"
DOI,"10.1021/Je800900a"
articleSource,"UNKNOWN"
date,"1000-01-01"
digitizer,"UNKNOWN"
adsorbent
hashkey,"NIST-MATDB-b76bbf3e404395a8b5d1b9ec08bf2d8f"
name,"Zeolite 13X"
adsorbates
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
name,"Carbon Dioxide"
category,""
temperature,"248"
tabular_data,"0"
isotherm_type,""
adsorptionUnits,"mmol/g"
pressureUnits,"bar"
compositionType,"molefraction"
concentrationUnits,""
isotherm_data
line_id,"1"
pressure,"0.00178552"
total_adsorption,"1.91329"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.91329"
line_id,"2"
pressure,"0.00357224"
total_adsorption,"2.60168"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.60168"
line_id,"3"
pressure,"0.00443669"
total_adsorption,"2.88235"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.88235"
line_id,"4"
pressure,"0.0103304"
total_adsorption,"3.58992"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.58992"
line_id,"5"
pressure,"0.0211206"
total_adsorption,"4.1557"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.1557"
line_id,"6"
pressure,"0.0942146"
total_adsorption,"5.10067"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"5.10067"

line,"pressure","composition (CURLTUGMZLYLDI-UHFFFAOYSA-N)","adsorption (CURLTUGMZLYLDI-UHFFFAOYSA-N)","total_adsorption"
1,"0.00178552","1","1.91329","1.91329"
2,"0.00357224","1","2.60168","2.60168"
3,"0.00443669","1","2.88235","2.88235"
4,"0.0103304","1","3.58992","3.58992"
5,"0.0211206","1","4.1557","4.1557"
6,"0.0942146","1","5.10067","5.10067"
