
filename,"10.1021Je800900a.Isotherm7"
DOI,"10.1021/Je800900a"
articleSource,"UNKNOWN"
date,"1000-01-01"
digitizer,"UNKNOWN"
adsorbent
hashkey,"NIST-MATDB-035dc75dddd00241bd76627f78cbef2d"
name,"Zeolite 5A"
adsorbates
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
name,"Carbon Dioxide"
category,""
temperature,"298"
tabular_data,"0"
isotherm_type,""
adsorptionUnits,"mmol/g"
pressureUnits,"bar"
compositionType,"molefraction"
concentrationUnits,""
isotherm_data
line_id,"1"
pressure,"9.39096E-5"
total_adsorption,"0.139526"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.139526"
line_id,"2"
pressure,"0.000301301"
total_adsorption,"0.238428"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.238428"
line_id,"3"
pressure,"0.000392509"
total_adsorption,"0.287819"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.287819"
line_id,"4"
pressure,"0.000525098"
total_adsorption,"0.347441"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.347441"
line_id,"5"
pressure,"0.000940611"
total_adsorption,"0.450908"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.450908"
line_id,"6"
pressure,"0.00151526"
total_adsorption,"0.568482"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.568482"
line_id,"7"
pressure,"0.00231405"
total_adsorption,"0.737777"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.737777"
line_id,"8"
pressure,"0.00414564"
total_adsorption,"0.943719"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.943719"
line_id,"9"
pressure,"0.00633461"
total_adsorption,"1.13921"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.13921"
line_id,"10"
pressure,"0.0119683"
total_adsorption,"1.45721"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.45721"
line_id,"11"
pressure,"0.0244954"
total_adsorption,"1.81076"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.81076"
line_id,"12"
pressure,"0.0405238"
total_adsorption,"2.28292"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.28292"
line_id,"13"
pressure,"0.072639"
total_adsorption,"2.7162"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.7162"
line_id,"14"
pressure,"0.137319"
total_adsorption,"3.23172"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.23172"
line_id,"15"
pressure,"0.252831"
total_adsorption,"3.73531"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.73531"
line_id,"16"
pressure,"0.397045"
total_adsorption,"4.07439"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.07439"

line,"pressure","composition (CURLTUGMZLYLDI-UHFFFAOYSA-N)","adsorption (CURLTUGMZLYLDI-UHFFFAOYSA-N)","total_adsorption"
1,"9.39096E-5","1","0.139526","0.139526"
2,"0.000301301","1","0.238428","0.238428"
3,"0.000392509","1","0.287819","0.287819"
4,"0.000525098","1","0.347441","0.347441"
5,"0.000940611","1","0.450908","0.450908"
6,"0.00151526","1","0.568482","0.568482"
7,"0.00231405","1","0.737777","0.737777"
8,"0.00414564","1","0.943719","0.943719"
9,"0.00633461","1","1.13921","1.13921"
10,"0.0119683","1","1.45721","1.45721"
11,"0.0244954","1","1.81076","1.81076"
12,"0.0405238","1","2.28292","2.28292"
13,"0.072639","1","2.7162","2.7162"
14,"0.137319","1","3.23172","3.23172"
15,"0.252831","1","3.73531","3.73531"
16,"0.397045","1","4.07439","4.07439"
