
filename,"10.1021Je800900a.Isotherm3"
DOI,"10.1021/Je800900a"
articleSource,"UNKNOWN"
date,"1000-01-01"
digitizer,"UNKNOWN"
adsorbent
hashkey,"NIST-MATDB-035dc75dddd00241bd76627f78cbef2d"
name,"Zeolite 5A"
adsorbates
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
name,"Carbon Dioxide"
category,""
temperature,"248"
tabular_data,"0"
isotherm_type,""
adsorptionUnits,"mmol/g"
pressureUnits,"bar"
compositionType,"molefraction"
concentrationUnits,""
isotherm_data
line_id,"1"
pressure,"2.66753E-5"
total_adsorption,"0.444426"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.444426"
line_id,"2"
pressure,"4.07474E-5"
total_adsorption,"0.56031"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.56031"
line_id,"3"
pressure,"6.56191E-5"
total_adsorption,"0.737777"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.737777"
line_id,"4"
pressure,"0.000130749"
total_adsorption,"0.943719"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.943719"
line_id,"5"
pressure,"0.00024063"
total_adsorption,"1.15583"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.15583"
line_id,"6"
pressure,"0.000492323"
total_adsorption,"1.50003"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.50003"
line_id,"7"
pressure,"0.00127993"
total_adsorption,"1.89117"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.89117"
line_id,"8"
pressure,"0.00283618"
total_adsorption,"2.45435"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.45435"
line_id,"9"
pressure,"0.00596119"
total_adsorption,"3.04984"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.04984"
line_id,"10"
pressure,"0.0154993"
total_adsorption,"3.7898"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.7898"
line_id,"11"
pressure,"0.061673"
total_adsorption,"4.64159"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"4.64159"

line,"pressure","composition (CURLTUGMZLYLDI-UHFFFAOYSA-N)","adsorption (CURLTUGMZLYLDI-UHFFFAOYSA-N)","total_adsorption"
1,"2.66753E-5","1","0.444426","0.444426"
2,"4.07474E-5","1","0.56031","0.56031"
3,"6.56191E-5","1","0.737777","0.737777"
4,"0.000130749","1","0.943719","0.943719"
5,"0.00024063","1","1.15583","1.15583"
6,"0.000492323","1","1.50003","1.50003"
7,"0.00127993","1","1.89117","1.89117"
8,"0.00283618","1","2.45435","2.45435"
9,"0.00596119","1","3.04984","3.04984"
10,"0.0154993","1","3.7898","3.7898"
11,"0.061673","1","4.64159","4.64159"
