
filename,"10.1021Je800900a.Isotherm41"
DOI,"10.1021/Je800900a"
articleSource,"UNKNOWN"
date,"1000-01-01"
digitizer,"UNKNOWN"
adsorbent
hashkey,"NIST-MATDB-b76bbf3e404395a8b5d1b9ec08bf2d8f"
name,"Zeolite 13X"
adsorbates
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
name,"Carbon Dioxide"
category,""
temperature,"448"
tabular_data,"0"
isotherm_type,""
adsorptionUnits,"mmol/g"
pressureUnits,"bar"
compositionType,"molefraction"
concentrationUnits,""
isotherm_data
line_id,"1"
pressure,"0.000222967"
total_adsorption,"0.0104489"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.0104489"
line_id,"2"
pressure,"0.00025949"
total_adsorption,"0.011576"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.011576"
line_id,"3"
pressure,"0.000301995"
total_adsorption,"0.0128248"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.0128248"
line_id,"4"
pressure,"0.000351463"
total_adsorption,"0.0142082"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.0142082"
line_id,"5"
pressure,"0.000409035"
total_adsorption,"0.0157409"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.0157409"
line_id,"6"
pressure,"0.000476047"
total_adsorption,"0.0174393"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.0174393"
line_id,"7"
pressure,"0.000554026"
total_adsorption,"0.0193206"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.0193206"
line_id,"8"
pressure,"0.000658901"
total_adsorption,"0.0214047"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.0214047"
line_id,"9"
pressure,"0.000766849"
total_adsorption,"0.0237137"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.0237137"
line_id,"10"
pressure,"0.000892463"
total_adsorption,"0.0258905"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.0258905"
line_id,"11"
pressure,"0.00103865"
total_adsorption,"0.0286834"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.0286834"
line_id,"12"
pressure,"0.00123528"
total_adsorption,"0.0317775"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.0317775"
line_id,"13"
pressure,"0.00143763"
total_adsorption,"0.0346937"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.0346937"
line_id,"14"
pressure,"0.00167313"
total_adsorption,"0.038437"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.038437"
line_id,"15"
pressure,"0.00198987"
total_adsorption,"0.0425834"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.0425834"
line_id,"16"
pressure,"0.00231583"
total_adsorption,"0.0464911"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.0464911"
line_id,"17"
pressure,"0.00275423"
total_adsorption,"0.0515063"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.0515063"
line_id,"18"
pressure,"0.0032054"
total_adsorption,"0.0562341"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.0562341"
line_id,"19"
pressure,"0.00373048"
total_adsorption,"0.061396"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.061396"
line_id,"20"
pressure,"0.00443669"
total_adsorption,"0.068019"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.068019"
line_id,"21"
pressure,"0.00516346"
total_adsorption,"0.0742609"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.0742609"
line_id,"22"
pressure,"0.00614094"
total_adsorption,"0.0822716"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.0822716"
line_id,"23"
pressure,"0.00730347"
total_adsorption,"0.0898235"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.0898235"
line_id,"24"
pressure,"0.00849986"
total_adsorption,"0.0980686"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.0980686"
line_id,"25"
pressure,"0.0101089"
total_adsorption,"0.107068"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.107068"
line_id,"26"
pressure,"0.0120226"
total_adsorption,"0.118619"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.118619"
line_id,"27"
pressure,"0.0142986"
total_adsorption,"0.129505"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.129505"
line_id,"28"
pressure,"0.0170054"
total_adsorption,"0.139337"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.139337"
line_id,"29"
pressure,"0.0235378"
total_adsorption,"0.166088"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.166088"
line_id,"30"
pressure,"0.0279936"
total_adsorption,"0.181332"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.181332"
line_id,"31"
pressure,"0.033293"
total_adsorption,"0.197975"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.197975"
line_id,"32"
pressure,"0.0363078"
total_adsorption,"0.213005"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.213005"
line_id,"33"
pressure,"0.0431811"
total_adsorption,"0.225847"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.225847"
line_id,"34"
pressure,"0.0513556"
total_adsorption,"0.246575"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.246575"
line_id,"35"
pressure,"0.0560061"
total_adsorption,"0.265295"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.265295"
line_id,"36"
pressure,"0.0666084"
total_adsorption,"0.277202"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.277202"
line_id,"37"
pressure,"0.079218"
total_adsorption,"0.302644"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.302644"
line_id,"38"
pressure,"0.0942146"
total_adsorption,"0.325621"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.325621"
line_id,"39"
pressure,"0.11205"
total_adsorption,"0.350342"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.350342"
line_id,"40"
pressure,"0.133263"
total_adsorption,"0.382496"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.382496"
line_id,"41"
pressure,"0.161961"
total_adsorption,"0.411535"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.411535"
line_id,"42"
pressure,"0.196843"
total_adsorption,"0.442778"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.442778"
line_id,"43"
pressure,"0.234105"
total_adsorption,"0.476394"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.476394"
line_id,"44"
pressure,"0.284525"
total_adsorption,"0.512562"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.512562"
line_id,"45"
pressure,"0.338384"
total_adsorption,"0.559604"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.559604"
line_id,"46"
pressure,"0.411263"
total_adsorption,"0.593342"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.593342"
line_id,"47"
pressure,"0.489114"
total_adsorption,"0.638388"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.638388"
line_id,"48"
pressure,"0.594456"
total_adsorption,"0.686853"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.686853"
line_id,"49"
pressure,"0.72247"
total_adsorption,"0.738999"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.738999"
line_id,"50"
pressure,"0.878072"
total_adsorption,"0.795104"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.795104"

line,"pressure","composition (CURLTUGMZLYLDI-UHFFFAOYSA-N)","adsorption (CURLTUGMZLYLDI-UHFFFAOYSA-N)","total_adsorption"
1,"0.000222967","1","0.0104489","0.0104489"
2,"0.00025949","1","0.011576","0.011576"
3,"0.000301995","1","0.0128248","0.0128248"
4,"0.000351463","1","0.0142082","0.0142082"
5,"0.000409035","1","0.0157409","0.0157409"
6,"0.000476047","1","0.0174393","0.0174393"
7,"0.000554026","1","0.0193206","0.0193206"
8,"0.000658901","1","0.0214047","0.0214047"
9,"0.000766849","1","0.0237137","0.0237137"
10,"0.000892463","1","0.0258905","0.0258905"
11,"0.00103865","1","0.0286834","0.0286834"
12,"0.00123528","1","0.0317775","0.0317775"
13,"0.00143763","1","0.0346937","0.0346937"
14,"0.00167313","1","0.038437","0.038437"
15,"0.00198987","1","0.0425834","0.0425834"
16,"0.00231583","1","0.0464911","0.0464911"
17,"0.00275423","1","0.0515063","0.0515063"
18,"0.0032054","1","0.0562341","0.0562341"
19,"0.00373048","1","0.061396","0.061396"
20,"0.00443669","1","0.068019","0.068019"
21,"0.00516346","1","0.0742609","0.0742609"
