
filename,"10.1021Je800900a.Isotherm19"
DOI,"10.1021/Je800900a"
articleSource,"UNKNOWN"
date,"1000-01-01"
digitizer,"UNKNOWN"
adsorbent
hashkey,"NIST-MATDB-035dc75dddd00241bd76627f78cbef2d"
name,"Zeolite 5A"
adsorbates
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
name,"Carbon Dioxide"
category,""
temperature,"448"
tabular_data,"0"
isotherm_type,""
adsorptionUnits,"mmol/g"
pressureUnits,"bar"
compositionType,"molefraction"
concentrationUnits,""
isotherm_data
line_id,"1"
pressure,"0.0263745"
total_adsorption,"0.122476"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.122476"
line_id,"2"
pressure,"0.0343696"
total_adsorption,"0.141561"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.141561"
line_id,"3"
pressure,"0.0424972"
total_adsorption,"0.150003"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.150003"
line_id,"4"
pressure,"0.0583911"
total_adsorption,"0.178473"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.178473"
line_id,"5"
pressure,"0.0781331"
total_adsorption,"0.209293"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.209293"
line_id,"6"
pressure,"0.104503"
total_adsorption,"0.260072"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.260072"
line_id,"7"
pressure,"0.139804"
total_adsorption,"0.313946"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.313946"
line_id,"8"
pressure,"0.177403"
total_adsorption,"0.362867"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.362867"
line_id,"9"
pressure,"0.231153"
total_adsorption,"0.425531"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.425531"
line_id,"10"
pressure,"0.301127"
total_adsorption,"0.513679"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.513679"
line_id,"11"
pressure,"0.392148"
total_adsorption,"0.647621"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.647621"
line_id,"12"
pressure,"0.511364"
total_adsorption,"0.686243"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.686243"
line_id,"13"
pressure,"0.666147"
total_adsorption,"0.828398"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.828398"
line_id,"14"
pressure,"0.867981"
total_adsorption,"0.971452"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.971452"

line,"pressure","composition (CURLTUGMZLYLDI-UHFFFAOYSA-N)","adsorption (CURLTUGMZLYLDI-UHFFFAOYSA-N)","total_adsorption"
1,"0.0263745","1","0.122476","0.122476"
2,"0.0343696","1","0.141561","0.141561"
3,"0.0424972","1","0.150003","0.150003"
4,"0.0583911","1","0.178473","0.178473"
5,"0.0781331","1","0.209293","0.209293"
6,"0.104503","1","0.260072","0.260072"
7,"0.139804","1","0.313946","0.313946"
8,"0.177403","1","0.362867","0.362867"
9,"0.231153","1","0.425531","0.425531"
10,"0.301127","1","0.513679","0.513679"
11,"0.392148","1","0.647621","0.647621"
12,"0.511364","1","0.686243","0.686243"
13,"0.666147","1","0.828398","0.828398"
14,"0.867981","1","0.971452","0.971452"
