
filename,"10.1021Je800900a.Isotherm15"
DOI,"10.1021/Je800900a"
articleSource,"UNKNOWN"
date,"1000-01-01"
digitizer,"UNKNOWN"
adsorbent
hashkey,"NIST-MATDB-035dc75dddd00241bd76627f78cbef2d"
name,"Zeolite 5A"
adsorbates
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
name,"Carbon Dioxide"
category,""
temperature,"398"
tabular_data,"0"
isotherm_type,""
adsorptionUnits,"mmol/g"
pressureUnits,"bar"
compositionType,"molefraction"
concentrationUnits,""
isotherm_data
line_id,"1"
pressure,"0.00644502"
total_adsorption,"0.120715"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.120715"
line_id,"2"
pressure,"0.0128277"
total_adsorption,"0.178473"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.178473"
line_id,"3"
pressure,"0.0176252"
total_adsorption,"0.212346"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.212346"
line_id,"4"
pressure,"0.0235922"
total_adsorption,"0.238428"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.238428"
line_id,"5"
pressure,"0.0332743"
total_adsorption,"0.300599"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.300599"
line_id,"6"
pressure,"0.0445293"
total_adsorption,"0.347441"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.347441"
line_id,"7"
pressure,"0.0627969"
total_adsorption,"0.444426"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.444426"
line_id,"8"
pressure,"0.0885882"
total_adsorption,"0.544313"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.544313"
line_id,"9"
pressure,"0.11543"
total_adsorption,"0.638309"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.638309"
line_id,"10"
pressure,"0.158599"
total_adsorption,"0.759457"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.759457"
line_id,"11"
pressure,"0.217942"
total_adsorption,"0.890606"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.890606"
line_id,"12"
pressure,"0.291561"
total_adsorption,"1.07509"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.07509"
line_id,"13"
pressure,"0.379901"
total_adsorption,"1.26075"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.26075"
line_id,"14"
pressure,"0.522108"
total_adsorption,"1.45721"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.45721"
line_id,"15"
pressure,"0.69886"
total_adsorption,"1.6362"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.6362"
line_id,"16"
pressure,"0.887197"
total_adsorption,"1.78473"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.78473"

line,"pressure","composition (CURLTUGMZLYLDI-UHFFFAOYSA-N)","adsorption (CURLTUGMZLYLDI-UHFFFAOYSA-N)","total_adsorption"
1,"0.00644502","1","0.120715","0.120715"
2,"0.0128277","1","0.178473","0.178473"
3,"0.0176252","1","0.212346","0.212346"
4,"0.0235922","1","0.238428","0.238428"
5,"0.0332743","1","0.300599","0.300599"
6,"0.0445293","1","0.347441","0.347441"
7,"0.0627969","1","0.444426","0.444426"
8,"0.0885882","1","0.544313","0.544313"
9,"0.11543","1","0.638309","0.638309"
10,"0.158599","1","0.759457","0.759457"
11,"0.217942","1","0.890606","0.890606"
12,"0.291561","1","1.07509","1.07509"
13,"0.379901","1","1.26075","1.26075"
14,"0.522108","1","1.45721","1.45721"
15,"0.69886","1","1.6362","1.6362"
16,"0.887197","1","1.78473","1.78473"
