
filename,"10.1021Je800900a.Isotherm18"
DOI,"10.1021/Je800900a"
articleSource,"UNKNOWN"
date,"1000-01-01"
digitizer,"UNKNOWN"
adsorbent
hashkey,"NIST-MATDB-035dc75dddd00241bd76627f78cbef2d"
name,"Zeolite 5A"
adsorbates
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
name,"Carbon Dioxide"
category,""
temperature,"423"
tabular_data,"0"
isotherm_type,""
adsorptionUnits,"mmol/g"
pressureUnits,"bar"
compositionType,"molefraction"
concentrationUnits,""
isotherm_data
line_id,"1"
pressure,"0.000539213"
total_adsorption,"0.011067"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.011067"
line_id,"2"
pressure,"0.000631917"
total_adsorption,"0.0124262"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.0124262"
line_id,"3"
pressure,"0.000721124"
total_adsorption,"0.0139524"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.0139524"
line_id,"4"
pressure,"0.000845006"
total_adsorption,"0.015895"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.015895"
line_id,"5"
pressure,"0.000990262"
total_adsorption,"0.0178472"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.0178472"
line_id,"6"
pressure,"0.00116052"
total_adsorption,"0.0200396"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.0200396"
line_id,"7"
pressure,"0.00132434"
total_adsorption,"0.0225009"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.0225009"
line_id,"8"
pressure,"0.00155202"
total_adsorption,"0.025265"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.025265"
line_id,"9"
pressure,"0.00181883"
total_adsorption,"0.0283681"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.0283681"
line_id,"10"
pressure,"0.00213152"
total_adsorption,"0.0318522"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.0318522"
line_id,"11"
pressure,"0.00249797"
total_adsorption,"0.0357651"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.0357651"
line_id,"12"
pressure,"0.00292741"
total_adsorption,"0.0401578"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.0401578"
line_id,"13"
pressure,"0.0034303"
total_adsorption,"0.0457488"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.0457488"
line_id,"14"
pressure,"0.00402003"
total_adsorption,"0.0513677"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.0513677"
line_id,"15"
pressure,"0.00471113"
total_adsorption,"0.057678"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.057678"
line_id,"16"
pressure,"0.00552168"
total_adsorption,"0.0638308"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.0638308"
line_id,"17"
pressure,"0.00647093"
total_adsorption,"0.0716721"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.0716721"
line_id,"18"
pressure,"0.0075834"
total_adsorption,"0.0804748"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.0804748"
line_id,"19"
pressure,"0.00888711"
total_adsorption,"0.0903587"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.0903587"
line_id,"20"
pressure,"0.011276"
total_adsorption,"0.105964"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.105964"
line_id,"21"
pressure,"0.0135721"
total_adsorption,"0.117269"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.117269"
line_id,"22"
pressure,"0.0159054"
total_adsorption,"0.131673"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.131673"
line_id,"23"
pressure,"0.0242874"
total_adsorption,"0.173378"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.173378"
line_id,"24"
pressure,"0.0361217"
total_adsorption,"0.221775"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.221775"
line_id,"25"
pressure,"0.0423316"
total_adsorption,"0.249015"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.249015"
line_id,"26"
pressure,"0.0509573"
total_adsorption,"0.27162"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.27162"
line_id,"27"
pressure,"0.0718778"
total_adsorption,"0.337522"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.337522"
line_id,"28"
pressure,"0.096169"
total_adsorption,"0.401582"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.401582"
line_id,"29"
pressure,"0.143077"
total_adsorption,"0.49184"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.49184"
line_id,"30"
pressure,"0.196607"
total_adsorption,"0.576774"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.576774"
line_id,"31"
pressure,"0.243019"
total_adsorption,"0.638309"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.638309"
line_id,"32"
pressure,"0.371253"
total_adsorption,"0.793179"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.793179"
line_id,"33"
pressure,"0.4469"
total_adsorption,"0.865181"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.865181"
line_id,"34"
pressure,"0.483849"
total_adsorption,"0.903597"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.903597"
line_id,"35"
pressure,"0.582438"
total_adsorption,"0.985623"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.985623"
line_id,"36"
pressure,"0.800461"
total_adsorption,"1.13921"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.13921"

line,"pressure","composition (CURLTUGMZLYLDI-UHFFFAOYSA-N)","adsorption (CURLTUGMZLYLDI-UHFFFAOYSA-N)","total_adsorption"
1,"0.000539213","1","0.011067","0.011067"
2,"0.000631917","1","0.0124262","0.0124262"
3,"0.000721124","1","0.0139524","0.0139524"
4,"0.000845006","1","0.015895","0.015895"
5,"0.000990262","1","0.0178472","0.0178472"
6,"0.00116052","1","0.0200396","0.0200396"
7,"0.00132434","1","0.0225009","0.0225009"
8,"0.00155202","1","0.025265","0.025265"
9,"0.00181883","1","0.0283681","0.0283681"
10,"0.00213152","1","0.0318522","0.0318522"
11,"0.00249797","1","0.0357651","0.0357651"
12,"0.00292741","1","0.0401578","0.0401578"
13,"0.0034303","1","0.0457488","0.0457488"
14,"0.00402003","1","0.0513677","0.0513677"
15,"0.00471113","1","0.057678","0.057678"
16,"0.00552168","1","0.0638308","0.0638308"
17,"0.00647093","1","0.0716721","0.0716721"
18,"0.0075834","1","0.0804748","0.0804748"
19,"0.00888711","1","0.0903587","0.0903587"
20,"0.011276","1","0.105964","0.105964"
21,"0.0135721","1","0.117269","0.117269"
22,"0.0159054","1","0.131673","0.131673"
23,"0.0242874","1","0.173378","0.173378"
24,"0.0361217","1","0.221775","0.221775"
25,"0.0423316","1","0.249015","0.249015"
26,"0.0509573","1","0.27162","0.27162"
27,"0.0718778","1","0.337522","0.337522"
28,"0.096169","1","0.401582","0.401582"
29,"0.143077","1","0.49184","0.49184"
30,"0.196607","1","0.576774","0.576774"
31,"0.243019","1","0.638309","0.638309"
32,"0.371253","1","0.793179","0.793179"
33,"0.4469","1","0.865181","0.865181"
34,"0.483849","1","0.903597","0.903597"
35,"0.582438","1","0.985623","0.985623"
36,"0.800461","1","1.13921","1.13921"
