
filename,"10.1021Je800900a.Isotherm9"
DOI,"10.1021/Je800900a"
articleSource,"UNKNOWN"
date,"1000-01-01"
digitizer,"UNKNOWN"
adsorbent
hashkey,"NIST-MATDB-035dc75dddd00241bd76627f78cbef2d"
name,"Zeolite 5A"
adsorbates
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
name,"Carbon Dioxide"
category,""
temperature,"323"
tabular_data,"0"
isotherm_type,""
adsorptionUnits,"mmol/g"
pressureUnits,"bar"
compositionType,"molefraction"
concentrationUnits,""
isotherm_data
line_id,"1"
pressure,"0.000354838"
total_adsorption,"0.141561"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.141561"
line_id,"2"
pressure,"0.00107939"
total_adsorption,"0.245435"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.245435"
line_id,"3"
pressure,"0.00156426"
total_adsorption,"0.287819"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.287819"
line_id,"4"
pressure,"0.00193245"
total_adsorption,"0.342445"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.342445"
line_id,"5"
pressure,"0.00319657"
total_adsorption,"0.438035"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.438035"
line_id,"6"
pressure,"0.00463043"
total_adsorption,"0.544313"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.544313"
line_id,"7"
pressure,"0.00807688"
total_adsorption,"0.70641"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.70641"
line_id,"8"
pressure,"0.0133604"
total_adsorption,"0.903597"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"0.903597"
line_id,"9"
pressure,"0.0198815"
total_adsorption,"1.07509"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.07509"
line_id,"10"
pressure,"0.0311909"
total_adsorption,"1.33594"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.33594"
line_id,"11"
pressure,"0.0558911"
total_adsorption,"1.66007"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"1.66007"
line_id,"12"
pressure,"0.0924837"
total_adsorption,"2.03318"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.03318"
line_id,"13"
pressure,"0.145158"
total_adsorption,"2.38428"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.38428"
line_id,"14"
pressure,"0.22783"
total_adsorption,"2.79602"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"2.79602"
line_id,"15"
pressure,"0.367308"
total_adsorption,"3.18526"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.18526"
line_id,"16"
pressure,"0.518621"
total_adsorption,"3.47441"
species_data
InChIKey,"CURLTUGMZLYLDI-UHFFFAOYSA-N"
composition,"1"
adsorption,"3.47441"

line,"pressure","composition (CURLTUGMZLYLDI-UHFFFAOYSA-N)","adsorption (CURLTUGMZLYLDI-UHFFFAOYSA-N)","total_adsorption"
1,"0.000354838","1","0.141561","0.141561"
2,"0.00107939","1","0.245435","0.245435"
3,"0.00156426","1","0.287819","0.287819"
4,"0.00193245","1","0.342445","0.342445"
5,"0.00319657","1","0.438035","0.438035"
6,"0.00463043","1","0.544313","0.544313"
7,"0.00807688","1","0.70641","0.70641"
8,"0.0133604","1","0.903597","0.903597"
9,"0.0198815","1","1.07509","1.07509"
10,"0.0311909","1","1.33594","1.33594"
11,"0.0558911","1","1.66007","1.66007"
12,"0.0924837","1","2.03318","2.03318"
13,"0.145158","1","2.38428","2.38428"
14,"0.22783","1","2.79602","2.79602"
15,"0.367308","1","3.18526","3.18526"
16,"0.518621","1","3.47441","3.47441"
